No.,熟語,意味,出現冊数
1,fill out ～,～に書き込む,5
2,set up ～,～を設立する、立ち上げる,5
3,keep up with ～,～に遅れずについていく,5
4,break down,故障する,5
5,let ～ down,～を失望させる,5
6,take over ～,～を引き継ぐ,5
7,show off ～,～を見せびらかす,5
8,stand for ～,～を意味する,5
9,on time,時間通りに,4
10,～ as well as …,…はもちろんのこと～も,4
11,ask for ～,～を求める、要求する,4
12,work on ～,～に取り組む,4
13,as well,～もまた,4
14,pick up ～,～を迎えに行く,4
15,in the end,結局,4
16,in particular,特に,4
17,make a mistake,間違える,4
18,at least,少なくとも,4
19,be similar to ～,～と似ている,4
20,suffer from ～,～に苦しむ,4
21,be based on ～,～に基づいている,4
22,for a while,しばらくの間,4
23,up to ～,～次第である,4
24,prefer ～ to …,…より～を好む,4
25,lead to ～,～に通じる,4
26,get rid of ～,～を取り除く,4
27,a number of ～,たくさんの～,4
28,come out,(星などが)出る,4
29,a couple of ～,2、3の～,4
30,as ～ as possible,できるだけ～,4
31,be responsible for ～,～に対して責任がある,4
32,come up with ～,～を思いつく,4
33,no longer ～,もはや～でない,4
34,put out ～,～(火など)を消す,4
35,call off ~,〜を中止する,4
36,depend on ～,～に依存する,4
37,figure out ~,〜を理解する、〜をわかる,4
38,at a time,一度に,4
39,by mistake,間違って,4
40,look up ～,～を(辞書などで)調べる,4
41,turn on ～,～のスイッチを入れる,4
42,break out,(災害･戦争などが)発生する、勃発する,4
43,take part in ～,～に参加する,4
44,far from ～,～から遠い,4
45,carry out ～,～を実行する,4
46,plenty of ～,たくさんの～,4
47,in addition to ～,～に加えて,4
48,live on ～,～を収入源として生活する,4
49,take place,行われる、開催される,4
50,accuse A of B,AをBのことで非難［告訴］する,4
51,all the way,はるばる,4
52,be about to do,まさに～するところである,4
53,so far,今までのところ,4
54,on purpose,わざと,4
55,apply for ～,～に応募する,4
56,had better do,～した方がよい,4
57,hand down ~,〜を後世に残す、〜を伝える,4
58,pay attention to ～,～に注意を払う,4
59,account for ~,〜の所在がわかっている、〜(の理由)を説明する,4
60,by the time ～,～するときまでに,4
61,happen to do,たまたま～する,4
62,in terms of~,〜の観点から,4
63,go over ～,～を見直す,4
64,be satisfied with ～,～に満足している,4
65,look up to ～,～を尊敬する,4
66,bring about ~,(結果など)を招く、〜を引き起こす,4
67,exchange ～ for …,～を…と交換する,4
68,catch up with ～,～に追いつく,4
69,put down ～,～を書き留める,4
70,in a sense,ある意味では,4
71,be free from ～,～から解放されている,4
72,in spite of ～,～にもかかわらず,4
73,for the time being,当分の間,4
74,count on(upon)~,〜を当てにする、〜に頼る,4
75,decide on ～,～に決める,4
76,take up ~,(趣味･仕事として)〜を始める,4
77,watch out for ～,～に用心する,4
78,in turn,順番に,4
79,at the moment,ちょうど今,4
80,get over ～,～を克服する,4
81,on board,～に乗って,4
82,take after ～,～に似ている,4
83,by far,断然,4
84,in charge of ～,～を担当して,4
85,be subject to ~,〜になりやすい、〜を受けやすい,4
86,owing to ~,〜のために、〜の理由で,4
87,on (in) behalf of~,〜を代表して、〜のために,4
88,run into ～,～と偶然出会う,4
89,lay off ~,〜を一時的に解雇する,4
90,in favor of ~,〜に賛成して、〜のために,4
91,in public,人前で,4
92,on the contrary,それどころか、それと逆に,4
93,stick to~,〜をやり通す、〜にくっつく,4
94,make a difference,違いをもたらす,4
95,make sense,意味が通じる,4
96,stand out,目立つ,4
97,show up（~）,姿を見せる、現れる、〜を目立たせる,4
98,bring up ～,～を育てる,4
99,by means of ~,〜によって,4
100,in advance,あらかじめ,4
101,look down on [upon] ~,〜を見下す,4
102,in the long run,長い目で見れば,4
103,go through ～,～を経験する,4
104,as long as ～,～する限り,4
105,in a row,連続して、一列に,4
106,put off ～,～を延期する,4
107,turn in ~,〜を提出する,4
108,now that ～,今や～なので,4
109,cope with ~,(難局･問題など)をうまく処理する,4
110,make do with ~,(ありあわせのもの)で済ます,4
111,rule out ~,〜を除外する,4
112,wear out （~）,すり減る、(〜を)すり減らす,4
113,settle down,身を固める、落ち着く,4
114,name ～ after …,…にちなんで～を名付ける,4
115,see ～ off,～を見送る,4
116,sum up ~,〜を要約する、〜を合計する,4
117,on the spot,即座に、その場で,4
118,stand by ～,～を支援する,4
119,keep track of ~,〜を見失わないようにする、(人の動向など)に注意している,4
120,live up to ~,(期待など)に応える、〜に従って生きる［行動する］,4
121,too ～ to do,…するには～すぎる,3
122,find out ～,～を見つけ出す、調べて知る,3
123,so ～ that …,とても～なので…,3
124,take care of ～,～の世話をする,3
125,deal with ~,(問題)を処理する、(主題など)を扱う,3
126,put on ～,～を着用する、身につける,3
127,contribute to ～,～の一因となる、～を助長する,3
128,act on ～,～に従って行動する、～に作用する,3
129,try on ～,～を試着する,3
130,turn A into B,AをBに変える,3
131,according to ~,〜によれば,3
132,refer to ~,〜に言及する、〜に関係する、〜を参照する,3
133,on earth,一体全体,3
134,be concerned about ~,〜を心配している、〜を気遣っている,3
135,on the other hand,他方では、それに反して,3
136,concentrate on~,〜に集中する,3
137,along with ～,～と一緒に,3
138,complain about ～,～について不平を言う,3
139,except for ～,～を除いては,3
140,next to ～,～の隣に,3
141,in a hurry,急いで,3
142,~. and so on,(そして)〜など,3
143,not only ～ but also …,～ばかりでなく…もまた,3
144,blow up ～,爆発させて破壊する,3
145,turn off ～,～を消す,3
146,look after ～,～の世話をする,3
147,pick out ~,〜を選び出す,3
148,as soon as ～,～するとすぐに,3
149,add ～ to …,～を…に加える,3
150,break off ～,～を急にやめる、(関係などを)断つ,3
151,give up ～,～をあきらめる,3
152,amount to ~,総計で〜に達する,3
153,hear from ～,～から便りをもらう,3
154,search ～ for …,…を求めて～を探す,3
155,not ～ but …,～ではなく…,3
156,before long,まもなく,3
157,be likely to do,〜しそうである,3
158,adhere to ～,主義や規則に忠実に従う,3
159,come down with ～,病気にかかる,3
160,at first,最初は,3
161,after all,結局,3
162,hold back ～,～を制止する、抑える,3
163,in fact,実際は,3
164,in general,一般に、たいてい,3
165,thanks to ～,～のおかげで,3
166,even if ～,たとえ～でも,3
167,point out ～,～を指摘する,3
168,call for ～,～を必要とする、～を求める,3
169,see to it that ～,必ず～するよう取り計らう,3
170,take off ～,～を脱ぐ,3
171,attribute A to B,ある結果を特定の原因のせいだと考える,3
172,instead of ～,～の代わりに,3
173,at times,時々,3
174,go out,外出する,3
175,be willing to do,進んで〜する,3
176,in detail,詳細に,3
177,be aware of ～,～に気づいている,3
178,used to do,以前は～だった,3
179,make sure that ～,～であることを確実にする,3
180,all the time,いつでも,3
181,by chance,偶然に、たまたま,3
182,do away with ～,不要なものを廃止する、なくす,3
183,give in to~,〜に屈する,3
